surface,tourney_level,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,best_of,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced,opponent_ace,opponent_df,opponent_svpt,opponent_1stIn,opponent_1stWon,opponent_2ndWon,opponent_SvGms,opponent_bpSaved,opponent_bpFaced,player_rank,opponent_rank,result
Hard,A,R,198.0,23.6,R,185.0,28.0,3,6.0,1.0,65.0,46.0,36.0,8.0,11.0,1.0,3.0,5.0,3.0,58.0,30.0,22.0,11.0,10.0,1.0,5.0,17.0,82.0,True
Hard,A,R,198.0,23.9,R,206.0,34.6,3,6.0,0.0,46.0,27.0,22.0,13.0,8.0,2.0,2.0,4.0,1.0,44.0,27.0,14.0,9.0,8.0,3.0,7.0,5.0,19.0,True
Hard,A,R,198.0,23.6,R,193.0,22.1,3,12.0,1.0,75.0,54.0,46.0,7.0,14.0,4.0,6.0,11.0,6.0,89.0,53.0,42.0,11.0,14.0,3.0,7.0,17.0,31.0,True
Hard,A,R,198.0,23.9,R,183.0,21.0,3,13.0,3.0,65.0,40.0,37.0,13.0,11.0,2.0,3.0,2.0,1.0,65.0,52.0,36.0,6.0,10.0,2.0,4.0,5.0,53.0,True
Hard,A,R,198.0,23.6,R,185.0,22.8,3,8.0,2.0,48.0,31.0,27.0,7.0,8.0,0.0,0.0,2.0,4.0,42.0,20.0,11.0,9.0,7.0,4.0,8.0,17.0,329.0,True
Hard,A,R,178.0,32.6,R,206.0,34.6,3,7.0,5.0,64.0,43.0,42.0,8.0,11.0,1.0,1.0,15.0,1.0,70.0,48.0,33.0,15.0,11.0,3.0,4.0,12.0,19.0,True
Hard,A,R,185.0,28.0,R,193.0,22.1,3,17.0,0.0,71.0,47.0,44.0,11.0,12.0,3.0,4.0,6.0,2.0,81.0,57.0,39.0,15.0,12.0,5.0,6.0,82.0,31.0,True
Hard,A,R,183.0,21.0,R,178.0,32.6,3,2.0,1.0,46.0,35.0,28.0,6.0,8.0,0.0,0.0,1.0,3.0,47.0,22.0,13.0,10.0,8.0,5.0,9.0,53.0,12.0,True
Hard,A,R,185.0,28.0,R,185.0,22.8,3,5.0,1.0,36.0,17.0,15.0,13.0,7.0,0.0,0.0,3.0,1.0,44.0,21.0,9.0,9.0,7.0,3.0,8.0,82.0,329.0,True
Hard,A,R,183.0,21.0,R,206.0,34.6,3,4.0,0.0,105.0,80.0,69.0,18.0,18.0,1.0,1.0,33.0,2.0,123.0,90.0,77.0,13.0,18.0,5.0,6.0,53.0,19.0,True
